INTERNAL — Factory shell vs Miguel US$80/sf — Lot 127 PT190249 and Lot 115 — NOT FOR CUSTOMERS

#,Factory packing-list item,What is IN THE SHELL (factory 40HQ),What Miguel lists at US$80/sf,Verdict,Pay twice?,Ask Miguel before signing,Lot 127 / Lot 115 note
12,Inside decoration moldings,"Skirting, top and corner stripes.",Not listed. Tile and paint may cover or replace.,IN SHELL,NO,Does tile mean he pulls the skirting and redoes bases?,"Finish detail. If he tiles floors, skirting may be reset."
13,Pitch roof system + WPC rail 3 sides,"0.5 mm corrugated + LGS truss + PVC gutter/downpipe, flashing, gable cover, WPC rail.",Not listed. He did not offer a roof type.,SKIP,NO,—,PT190249 is FLAT ROOF only — no A-frame. Do not ship item 13 on Lot 127. Other catalog SKUs (gable/hip) use this.
14,"Connection floor — aluminum, long side (12 pc)",Joins two modules on the long side.,"Assembly of the container home, including two-story.",IN SHELL,"NO — he INSTALLS these, he does not supply them",He is labor. Factory ships the 12 connection floors.,Two-story stack uses these plus vertical columns. His $80/sf includes setting them.
15,Water-proof rubber strip T-shape (24 pc),Joint weather seal between units.,Not listed by name. Envelope/paint may assume it.,IN SHELL,NO,Confirm he seats all 24 strips. Two-story joints leak if skipped.,Critical on stacked PT190249.
16,Connection bolts (8 pc),Bolts between two units.,Assembly / two-story.,IN SHELL,NO — he INSTALLS,Two-story may need more than 8. Ask if factory ships extras for stacked.,Labor is Miguel. Hardware is factory.
17,Color steel trimming 0.5 mm (12 pc),Covers column and beam joints.,Prime and paint house.,IN SHELL,NO,Paint after trim is on. Do not paint then trim.,"Sequence: set, then strip, then trim, then his paint."
18,"Wash-basin — porcelain, with cabinet and mirror","Factory vanity package, 1 pc.",Upper and lower cabinets. Granite or quartz countertops.,UPGRADE,NO — he REPLACES the top / may keep basin,Keep factory basin and cabinet carcass? Or full vanity swap with stone top?,Factory is a cheap vanity. Stone top is the upgrade. Do not buy two vanities.
19,"Toilet — ceramic, 1 pc",One ceramic toilet in the box.,"Not listed as a fixture, but walk-in live / plumbing.",IN SHELL,YES if he supplies another toilet,Use the factory toilet unless he is specifying a different pan.,1.5 bath on 127 may need a second toilet not in a 1-pc accessory list. Ask factory BOM for 1.5 bath.
20,Shower room 850 x 1120 glass cube,"Glass wall cube, sprayer, mixer, tray, drain.",Not listed. Ceramic tile may replace the tray.,UPGRADE,YES if he builds a tiled shower and we also ship the cube,"Keep the factory cube, or delete it from the packing list and let him tile a wet room?","If he tiles, PULL item 20 from the China order or we pay for a cube that gets thrown away."
21,Kitchen cabinet 600 x 1500 with stainless sink and faucet (gas stove optional),"One short base run, SS sink, faucet. No stone. No uppers specified here.",Upper and lower cabinets. Granite or quartz counters.,UPGRADE,NO — he REPLACES this run,"Delete factory #21 from the packing list if he is building a full kitchen, or keep carcass and only add stone + uppers?",600 x 1500 is a tiny kitchen. Miguel uppers/lowers + stone is the actual kitchen. Strongly consider omitting #21 from FOB if Path 2.
22,Plumbing — inlet and outlet of the bathroom only,Wet-pack pipes to the module edge. No house water system.,Hot and cold water with pressure tank and pump. Septic tank. 500 L catchment to supply the house.,MIGUEL ONLY,NO — this is new work,Brand of pump/tank. 500 L is about 132 gal — too small for two people full-time; confirm cistern vs well. Septic 3-chamber Belize code?,Factory stops at the bath wall. Miguel is the whole water story. 500 L catchment is not a 100 ft well.
—,Air conditioning,"NOT IN THE SHELL. No mini-splits, no line sets, no condensers.",AC units.,MIGUEL ONLY,NO,"How many heads, tons, marine/coastal rating, who pulls the 220 V?",This is real value. Factory electrical is lights and sockets only.
—,"Foundation, pad, hurricane anchors, crane",NOT IN THE SHELL. House arrives as modules.,"Foundation and pad, hurricane anchors. Two-story assembly implies crane.",MIGUEL ONLY,NO,"Pad thickness, embeds for straps, 60-day settle still required? Crane hours inside the 2 months?",This is the civil half of the $80/sf. KDK Path 1 priced pad $12k + ties $2.5k + crane $3.5k separately.
—,Ceramic tiles (floors / wet rooms),Factory floor is 1.8 mm PVC dry / 2.5 mm anti-slip PVC wet. No tile.,Ceramic tiles.,UPGRADE,NO — he covers the PVC,Which rooms get tile? Over PVC or PVC pulled? Extra dead load on 2nd floor?,Real finish upgrade. Do not also buy a premium factory floor.
—,Whole-house paint,"Panels already PE-coated AZM100. Exposed steel is galvanized, not cream marine enamel.",Primed and painted with high-quality paint.,UPGRADE,NO — he paints the assembled house,"Product, years, coastal rating. Does this replace our $4,800 5-year marine cream on steel?",Factory color is not creme white. His paint is how Lot 127 becomes cream.
—,Storm-guard aluminum louvers (his other window option),Factory is PVC sliders + one large aluminum combined window. No storm louvers in the list.,Windows could be storm-guard aluminum louvers OR glass sliders.,ASK,YES if we keep factory glass AND he adds louvers,"Pick one: keep factory glass, or swap to louvers. Belize hurricane practice often wants both (glass + shutter) — that is extra, not $80/sf unless he says so.",Get this in writing. Louvers in front of the 2300 x 2450 slider are a different bid.
—,Electrical beyond lights/sockets,"Prefab LED, switches, sockets, one distribution box, outdoor power inlet. No 200 A service, no AC circuits, no well pump circuit.",Implied in walk-in live / AC / pump.,MIGUEL ONLY,NO,"Panel size, BEL 110/220 60 Hz, who pulls CBA electrical permit.",Factory is a construction-site board. His job is a live house.
—,Septic + 500 L catchment,NOT IN THE SHELL.,Septic tank. 500 L water tank to supply the house.,MIGUEL ONLY,NO,Tank size vs 3-chamber code. 500 L vs well. Who digs (Merrel)?,"Not landscape, not the well. Still buy Merrel dirt work unless he takes it."
—,Two-story assembly / 2 months walk-in,"Factory ships a kit. First-run KDK path uses 4 workers at $9,440.",He assembles even the two-story. 2 months then walk in.,MIGUEL ONLY,"YES if we also fly the $9,440 crew",Turn the factory fly-in OFF on Path 2. Never both.,This is the labor swap. Customer pages must not stack.

What to do with the China packing list if Path 2
Action on the factory order,Items,Why,Saves / costs,Lot 127,Lot 115,Owner,Do not
KEEP in the FOB box,"Frames #1/#2, walls #4/#5, steel entry #6, windows #9/#10/#11, moldings #12, connectors #14-17, toilet #19 (unless 2nd bath extra), electrical prefab in the roof.",This IS the house. Miguel does not fabricate modules.,"Already inside landed $37,500 (127) / $68,000 (115).","Two stacked dry+wet modules, FLAT roof.",Same class of box + cedar overlay extra.,Factory,"Do not let Miguel re-supply walls, roof PU, or a second slider wall."
DELETE from FOB if Path 2 (or we throw them away),Kitchen cabinet #21. Shower cube #20 if he tiles. Interior sandwich doors #7 if mahogany is full-house. Pitch roof #13 (never on PT190249). WPC deck frame #3.,Miguel kitchen/stone/tile/mahogany replace these. Shipping junk we dump in Belize is wasted freight.,Ask factory for a credit on deleted accessories before the 40HQ is packed.,No pitch roof. No WPC cassette.,"No pitch roof. Deck is Pletz teak, not WPC cassette.",Gary / factory,Do not ship #13 on Lot 127.
LET MIGUEL UPGRADE (he replaces factory finish),"Mahogany doors, granite/quartz, ceramic tile, whole-house paint, extra foam IF additive, AC, pump/pressure tank.",These are why $80/sf is a finished house vs an empty PVC-floor kit.,"Inside 646 x $80 = $51,680 (127) and 768 x $80 = $61,440 (115).",Cream paint is how the render becomes creme-white.,Cedar overlay is NOT in his list — still Pletz/KDK.,Miguel,Do not also keep factory #21 kitchen if he is building a full kitchen.
MIGUEL ONLY — not in any factory line,"Pad, hurricane anchors, crane, two-story set, septic, 500 L catchment, AC, house water (pump/tank), CBA permits, 2-month finish.",Civil + live MEP. This is the $80/sf that is not a finish upgrade — it is site work.,"Replaces KDK Path 1 pad $12k + ties $2.5k + crane $3.5k + crew $9,440 + MEP $13k on 127.",2 months walk-in. Turn 4-worker crew OFF.,Same. Pletz deck still extra.,Miguel,"Never add $9,440 fly-in on top."
